   1	2   0   7 
   3	2   7  14 
   5	2  14  21 
   7	2  21  28 
   9	2  28  35 
  11	2  35  42 
  13	2  42  36 
  15	2  36  22 
  17	2  22   8 
  19	2   8   1 
  21	2   1  15 
  23	2  15  29 
  25	2  29  43 
  27	2  43  37 
  29	2  37  23 
  31	2  23   9 
  33	2   9   2 
  35	2   2  16 
  37	2  16  30 
  39	2  30  44 
  41	2  44  38 
  43	2  38  24 
  45	2  24  10 
  47	2  10   3 
  49	2   3  17 
  51	2  17  31 
  53	2  31  45 
  55	2  45  39 
  57	2  39  25 
  59	2  25  11 
  61	2  11   4 
  63	2   4  18 
  65	2  18  32 
  67	2  32  46 
  69	2  46  40 
  71	2  40  26 
  73	2  26  12 
  75	2  12   5 
  77	2   5  19 
  79	2  19  33 
  81	2  33  47 
  83	2  47  41 
  85	2  41  27 
