   1	2   1   3 
   3	2   0   1 
   5	6   2   0 
  11	2   3   2 
  13	2   3   1 
  15	6   1   0 
  21	2   2   0 
  23	2   3   2 
  25	6   2   0 
  31	2   2   3 
  33	2   0   2 
  35	6   1   0 
  41	2   3   1 
  43	2   2   3 
  45	6   2   0 
  51	2   0   1 
  53	2   3   1 
  55	6   1   0 
  61	2   1   3 
  63	2   0   1 
  65	2   1   0 
  67	6   1   0 
  73	2   2   0 
  75	6   1   0 
  81	2   0   2 
  83	2   0   1 
  85	6   1   0 
  91	2   2   0 
  93	6   1   0 
  99	2   0   2 
 101	2   1   0 
 103	2   3   1 
